Year,Country,January,February,March,April,May,June,July,August,September,October,November,December
2016,Germany,49,50,74,50,67,96,25,52,61,63,77,50
2017,Germany,43,35,31,74,54,64,41,66,77,106,88,93
2018,Germany,89,53,78,97,123,102,109,177,299,341,203,195
2019,Germany,119,122,101,122,155,126,158,149,145,225,154,147
2020,Germany,133,108,87,13,15,53,143,134,161,159,145,114
2021,Germany,65,96,142,144,87,192,198,262,298,256,322,296
2022,Germany,204,169,244,221,247,329,163,256,225,211,224,212
2015,Iran,44,43,60,53,52,85,77,58,67,62,64,79
2016,Iran,45,52,53,66,53,55,49,50,42,72,82,45
2017,Iran,42,42,54,33,68,62,74,49,84,85,81,118
2018,Iran,83,122,156,138,217,228,321,394,538,557,463,435
2019,Iran,305,307,334,332,509,415,464,469,489,536,500,763
2020,Iran,678,721,465,157,209,398,540,640,908,849,860,764
2021,Iran,459,477,663,557,231,683,619,911,1323,1265,1406,1462
2022,Iran,761,711,784,905,736,987,431,633,592,498,510,675
2015,Iraq,240,243,297,298,276,315,362,401,359,430,495,512
2016,Iraq,308,365,244,276,193,214,153,267,230,257,285,244
2017,Iraq,279,282,323,245,277,239,293,317,383,344,405,418
2018,Iraq,272,308,348,337,407,315,584,944,1351,1439,1003,897
2019,Iraq,605,628,548,533,594,429,734,675,781,597,575,897
2020,Iraq,739,691,426,103,143,257,388,592,826,909,876,724
2021,Iraq,385,432,644,546,239,773,712,900,990,926,1075,1039
2022,Iraq,513,633,741,714,617,807,380,417,433,310,331,345
2015,Jordan,14,15,14,19,21,12,20,29,26,25,18,30
2016,Jordan,17,21,28,14,26,21,27,29,18,25,55,64
2017,Jordan,33,24,36,38,32,17,32,52,41,75,59,44
2018,Jordan,84,46,52,62,65,64,111,124,199,242,143,170
2019,Jordan,151,125,101,149,144,98,139,105,151,121,158,154
2020,Jordan,107,141,86,25,25,46,63,82,134,144,103,124
2021,Jordan,51,81,91,94,36,83,102,136,133,105,162,183
2022,Jordan,105,117,117,111,95,133,47,66,81,68,78,53
2020,Kazakhstan,65,74,72,36,15,34,64,82,222,213,124,170
2021,Kazakhstan,69,119,166,188,80,165,166,176,210,191,278,282
2015,Kazakhstan,44,35,52,41,46,38,54,58,34,46,53,39
2016,Kazakhstan,46,40,28,27,25,36,25,42,33,25,18,35
2017,Kazakhstan,19,16,28,25,17,35,32,18,63,20,31,30
2018,Kazakhstan,40,28,28,29,28,35,38,57,79,73,60,47
2019,Kazakhstan,30,45,37,73,71,60,58,59,68,80,91,104
2022,Kazakhstan,132,197,241,311,218,318,190,231,207,200,191,266
2015,Kuwait,124,144,168,187,216,214,147,226,160,142,193,209
2016,Kuwait,134,159,136,172,182,110,111,155,85,135,212,153
2017,Kuwait,115,114,139,169,125,136,142,135,160,154,151,151
2018,Kuwait,108,99,79,116,114,90,171,271,360,378,218,195
2019,Kuwait,130,150,123,202,152,113,219,159,191,182,109,173
2020,Kuwait,121,79,65,6,7,19,36,137,241,210,202,108
2021,Kuwait,58,41,49,78,43,151,189,264,281,189,185,263
2022,Kuwait,82,144,156,104,130,190,125,195,192,118,116,119
2019,Lebanese,45,61,62,49,57,43,69,39,62,56,47,60
2020,Lebanese,82,46,47,10,9,27,55,77,114,99,79,62
2018,Lebanon,8,11,12,16,25,22,23,38,67,92,77,65
2021,Lebanon,41,49,70,61,44,107,74,99,109,108,132,128
2022,Lebanon,83,73,84,92,87,98,37,76,42,45,50,48
2019,Libya,69,69,68,85,83,60,106,87,103,118,122,133
2020,Libya,78,76,87,10,12,27,22,37,79,84,63,54
2015,Libya,28,31,53,39,42,40,39,40,25,29,25,36
2016,Netherlands,21,23,15,32,17,13,7,14,18,19,12,26
2018,Netherlands,9,43,24,31,41,28,25,53,44,81,43,45
2015,Norway,17,20,46,39,29,75,65,41,36,39,31,15
2016,Norway,26,22,23,28,31,26,16,24,27,28,33,12
2017,Norway,9,9,26,21,25,24,24,26,38,24,27,20
2015,Othercountries,194,241,224,268,313,420,322,263,255,372,305,337
2016,Othercountries,226,245,279,280,297,287,171,214,204,267,280,317
2017,Othercountries,253,231,231,317,299,234,288,275,371,401,379,359
2018,Othercountries,288,313,306,385,410,352,459,540,952,1079,892,923
2019,Othercountries,585,626,647,672,713,485,860,676,787,893,851,1007
2020,Othercountries,647,732,561,143,135,323,557,770,929,957,961,827
2021,Othercountries,473,521,749,798,393,966,920,1203,1312,1091,1374,1570
2022,Othercountries,933,963,1226,1252,1061,1611,734,1068,995,925,939,1068
2021,Pakistani,61,63,82,83,42,103,65,93,90,75,96,109
2022,Pakistani,84,101,128,138,96,162,43,55,48,42,61,45
2017,Palestine,27,21,49,19,20,17,28,23,24,40,38,31
2018,Palestine,32,21,23,29,44,29,43,58,73,93,115,95
2019,Palestine,103,66,128,120,104,46,109,67,92,100,56,161
2020,Palestine,101,97,119,14,18,30,60,65,123,125,88,86
2021,Palestine,74,92,96,111,37,124,81,129,127,106,169,150
2022,Palestine,80,113,123,154,155,205,34,60,57,42,59,63
2015,Qatar,18,10,25,20,32,26,22,35,24,26,20,19
2016,Qatar,12,14,17,31,36,29,12,19,11,18,19,38
2017,Qatar,18,19,14,13,21,9,22,31,33,47,41,37
2018,Qatar,40,28,41,37,50,35,40,84,136,107,85,81
2019,Qatar,73,65,51,79,64,37,46,53,70,53,59,71
2015,RussianFederation,157,143,138,196,222,238,195,155,115,191,136,150
2016,RussianFederation,106,88,96,96,121,114,64,117,99,132,107,84
2017,RussianFederation,60,77,115,99,134,115,118,95,129,125,135,129
2018,RussianFederation,121,128,120,112,165,169,173,192,263,336,261,257
2019,RussianFederation,195,236,156,202,285,190,215,212,248,292,300,362
2020,RussianFederation,254,282,227,61,40,63,154,366,448,400,434,349
2021,RussianFederation,260,259,419,402,119,300,365,451,540,543,836,885
2022,RussianFederation,479,509,547,1152,1275,1887,1028,1238,1196,2023,2575,2403
2015,SaudiArabia,112,97,187,190,276,325,233,271,204,325,226,258
2016,SaudiArabia,136,158,151,165,160,112,92,173,140,159,236,204
2017,SaudiArabia,144,143,148,185,285,612,248,198,344,528,239,271
2018,SaudiArabia,160,178,181,252,206,110,211,275,312,332,233,268
2019,SaudiArabia,108,143,189,395,157,102,218,146,214,168,174,194
2020,SaudiArabia,110,109,84,15,11,23,32,51,52,65,65,62
2022,SaudiArabia,32,53,25,19,36,73,87,150,159,166,128,162
2021,Sudan,45,35,57,63,20,53,42,79,82,69,79,75
2015,Sweden,26,33,36,37,42,50,91,60,43,48,42,33
2016,Sweden,29,25,38,35,39,35,31,41,36,39,42,27
2017,Sweden,24,14,20,36,48,33,40,30,46,43,38,34
2018,Sweden,38,29,34,35,48,42,54,65,115,102,85,76
2019,Sweden,52,51,38,42,55,53,96,119,69,71,53,55
2020,Sweden,55,50,42,1,3,10,34,76,72,71,69,60
2021,Sweden,37,40,48,60,26,83,99,95,92,74,98,98
2015,Ukraine,30,29,61,57,79,57,56,35,55,49,60,40
2016,Ukraine,31,25,39,24,57,56,36,40,42,46,46,42
2017,Ukraine,41,35,35,31,48,42,36,37,41,60,58,41
2018,Ukraine,22,32,51,54,56,44,51,50,54,88,60,62
2019,Ukraine,50,52,47,50,80,38,60,56,55,71,57,103
2020,Ukraine,56,76,78,8,25,30,93,76,73,83,105,68
2021,Ukraine,69,60,93,92,44,127,106,98,101,122,163,171
2022,Ukraine,102,111,168,263,241,301,166,219,204,216,277,306
2015,UnitedArabEmirates,19,28,22,28,20,31,31,39,26,28,25,35
2016,UnitedArabEmirates,20,13,22,16,11,14,8,17,12,10,13,36
2017,UnitedArabEmirates,23,11,47,36,37,13,26,35,51,66,24,32
2018,UnitedStates,10,15,22,22,26,13,29,40,58,86,70,77
2019,UnitedStates,38,45,39,57,68,39,64,59,59,57,71,62
2020,UnitedStates,42,43,37,11,7,17,31,58,81,104,93,99
2021,UnitedStates,62,63,91,125,54,150,153,173,143,109,142,151
2022,UnitedStates,80,101,121,109,119,181,82,126,113,105,89,103
2017,Yemen,12,18,40,32,40,29,21,25,50,27,49,47
2018,Yemen,50,30,32,39,52,60,63,66,95,113,105,146
2019,Yemen,97,143,121,148,155,61,140,96,121,132,109,241
2020,Yemen,142,131,113,30,21,37,70,66,159,125,135,152
2021,Yemen,88,79,120,134,63,113,103,110,139,97,123,163
2022,Yemen,83,141,152,164,140,222,39,61,43,40,56,61
2015,Yemen,10,14,15,24,28,21,12,23,23,24,15,22
