,Country,Year,Month,Sales
272,RussianFederation,2023,9,1012.4598942724115
273,RussianFederation,2023,10,1047.5140900765837
274,RussianFederation,2023,11,1082.568285880785
275,RussianFederation,2023,12,1117.6224816849863
276,SaudiArabia,2023,1,17.853187113432796
277,SaudiArabia,2023,2,26.44259770284407
278,SaudiArabia,2023,3,35.03200829225534
279,SaudiArabia,2023,4,43.621418881666614
280,SaudiArabia,2023,5,52.210829471077886
281,SaudiArabia,2023,6,60.80024006048188
282,SaudiArabia,2023,7,69.38965064989316
283,SaudiArabia,2023,8,77.97906123930443
284,SaudiArabia,2023,9,86.5684718287157
285,SaudiArabia,2023,10,95.15788241812697
286,SaudiArabia,2023,11,103.74729300753825
287,SaudiArabia,2023,12,112.33670359694952
288,Sudan,2023,1,37.65384615384615
289,Sudan,2023,2,41.3986013986014
290,Sudan,2023,3,45.14335664335664
291,Sudan,2023,4,48.888111888111894
292,Sudan,2023,5,52.63286713286713
293,Sudan,2023,6,56.37762237762238
294,Sudan,2023,7,60.12237762237763
295,Sudan,2023,8,63.867132867132874
296,Sudan,2023,9,67.61188811188812
297,Sudan,2023,10,71.35664335664336
298,Sudan,2023,11,75.10139860139861
299,Sudan,2023,12,78.84615384615385
300,Sweden,2023,1,55.82028388278377
301,Sweden,2023,2,58.96713702963643
302,Sweden,2023,3,62.1139901764891
303,Sweden,2023,4,65.26084332334358
304,Sweden,2023,5,68.40769647019624
305,Sweden,2023,6,71.5545496170489
306,Sweden,2023,7,74.70140276390157
307,Sweden,2023,8,77.84825591075605
308,Sweden,2023,9,80.99510905760872
309,Sweden,2023,10,84.14196220446138
310,Sweden,2023,11,87.28881535131404
311,Sweden,2023,12,90.43566849816852
312,Ukraine,2023,1,137.7343177655639
313,Ukraine,2023,2,141.9427967865413
314,Ukraine,2023,3,146.15127580752596
315,Ukraine,2023,4,150.35975482850336
316,Ukraine,2023,5,154.56823384948075
317,Ukraine,2023,6,158.77671287045814
318,Ukraine,2023,7,162.9851918914428
319,Ukraine,2023,8,167.1936709124202
320,Ukraine,2023,9,171.4021499333976
321,Ukraine,2023,10,175.610628954375
322,Ukraine,2023,11,179.81910797535238
323,Ukraine,2023,12,184.02758699633705
324,UnitedArabEmirates,2023,1,40.992521367521476
325,UnitedArabEmirates,2023,2,41.87014374514365
326,UnitedArabEmirates,2023,3,42.747766122766734
327,UnitedArabEmirates,2023,4,43.62538850038891
328,UnitedArabEmirates,2023,5,44.50301087801108
329,UnitedArabEmirates,2023,6,45.380633255633256
330,UnitedArabEmirates,2023,7,46.25825563325634
331,UnitedArabEmirates,2023,8,47.135878010878514
332,UnitedArabEmirates,2023,9,48.01350038850069
333,UnitedArabEmirates,2023,10,48.89112276612286
334,UnitedArabEmirates,2023,11,49.768745143745036
335,UnitedArabEmirates,2023,12,50.64636752136812
336,UnitedStates,2023,1,110.53846153846098
337,UnitedStates,2023,2,115.33146853146172
338,UnitedStates,2023,3,120.12447552446974
339,UnitedStates,2023,4,124.91748251747777
340,UnitedStates,2023,5,129.7104895104858
341,UnitedStates,2023,6,134.5034965034938
