,Country,Year,Month,Sales
416,Kuwait,2015,March,168
417,Kuwait,2016,March,136
418,Kuwait,2017,March,139
419,Kuwait,2018,March,79
420,Kuwait,2019,March,123
421,Kuwait,2020,March,65
422,Kuwait,2021,March,49
423,Kuwait,2022,March,156
424,Lebanese,2019,March,62
425,Lebanese,2020,March,47
426,Lebanon,2018,March,12
427,Lebanon,2021,March,70
428,Lebanon,2022,March,84
429,Libya,2019,March,68
430,Libya,2020,March,87
431,Libya,2015,March,53
432,Netherlands,2016,March,15
433,Netherlands,2018,March,24
434,Norway,2015,March,46
435,Norway,2016,March,23
436,Norway,2017,March,26
437,Othercountries,2015,March,224
438,Othercountries,2016,March,279
439,Othercountries,2017,March,231
440,Othercountries,2018,March,306
441,Othercountries,2019,March,647
442,Othercountries,2020,March,561
443,Othercountries,2021,March,749
444,Othercountries,2022,March,1226
445,Pakistani,2021,March,82
446,Pakistani,2022,March,128
447,Palestine,2017,March,49
448,Palestine,2018,March,23
449,Palestine,2019,March,128
450,Palestine,2020,March,119
451,Palestine,2021,March,96
452,Palestine,2022,March,123
453,Qatar,2015,March,25
454,Qatar,2016,March,17
455,Qatar,2017,March,14
456,Qatar,2018,March,41
457,Qatar,2019,March,51
458,RussianFederation,2015,March,138
459,RussianFederation,2016,March,96
460,RussianFederation,2017,March,115
461,RussianFederation,2018,March,120
462,RussianFederation,2019,March,156
463,RussianFederation,2020,March,227
464,RussianFederation,2021,March,419
465,RussianFederation,2022,March,547
466,SaudiArabia,2015,March,187
467,SaudiArabia,2016,March,151
468,SaudiArabia,2017,March,148
469,SaudiArabia,2018,March,181
470,SaudiArabia,2019,March,189
471,SaudiArabia,2020,March,84
472,SaudiArabia,2022,March,25
473,Sudan,2021,March,57
474,Sweden,2015,March,36
475,Sweden,2016,March,38
476,Sweden,2017,March,20
477,Sweden,2018,March,34
478,Sweden,2019,March,38
479,Sweden,2020,March,42
480,Sweden,2021,March,48
481,Ukraine,2015,March,61
482,Ukraine,2016,March,39
483,Ukraine,2017,March,35
484,Ukraine,2018,March,51
485,Ukraine,2019,March,47
486,Ukraine,2020,March,78
487,Ukraine,2021,March,93
488,Ukraine,2022,March,168
489,UnitedArabEmirates,2015,March,22
490,UnitedArabEmirates,2016,March,22
491,UnitedArabEmirates,2017,March,47
492,UnitedStates,2018,March,22
493,UnitedStates,2019,March,39
494,UnitedStates,2020,March,37
495,UnitedStates,2021,March,91
496,UnitedStates,2022,March,121
497,Yemen,2017,March,40
498,Yemen,2018,March,32
499,Yemen,2019,March,121
500,Yemen,2020,March,113
501,Yemen,2021,March,120
502,Yemen,2022,March,152
503,Yemen,2015,March,15
504,Afghanistan,2015,April,50
505,Afghanistan,2016,April,115
506,Afghanistan,2017,April,81
507,Afghanistan,2018,April,99
508,Afghanistan,2019,April,189
509,Afghanistan,2020,April,54
510,Afghanistan,2021,April,229
511,Afghanistan,2022,April,247
512,Azerbaijan,2015,April,97
513,Azerbaijan,2016,April,47
514,Azerbaijan,2017,April,65
515,Azerbaijan,2018,April,68
516,Azerbaijan,2019,April,87
517,Azerbaijan,2020,April,35
518,Azerbaijan,2021,April,131
519,Azerbaijan,2022,April,156
520,Belgium,2016,April,13
521,Belgium,2017,April,22
522,Canada,2022,April,74
523,China,2015,April,20
524,China,2016,April,20
525,China,2020,April,40
526,China,2021,April,55
527,China,2022,April,105
528,Egypt,2015,April,23
529,Egypt,2016,April,28
530,Egypt,2017,April,38
531,Egypt,2018,April,44
532,Egypt,2019,April,88
533,Egypt,2020,April,10
534,Egypt,2021,April,99
535,Egypt,2022,April,117
536,England,2015,April,91
537,England,2016,April,65
538,England,2017,April,55
539,England,2018,April,57
540,England,2019,April,94
541,England,2020,April,14
542,England,2021,April,82
543,England,2022,April,116
544,Germany,2015,April,79
545,Germany,2016,April,50
546,Germany,2017,April,74
547,Germany,2018,April,97
548,Germany,2019,April,122
549,Germany,2020,April,13
550,Germany,2021,April,144
551,Germany,2022,April,221
552,Iran,2015,April,53
553,Iran,2016,April,66
554,Iran,2017,April,33
555,Iran,2018,April,138
556,Iran,2019,April,332
557,Iran,2020,April,157
558,Iran,2021,April,557
559,Iran,2022,April,905
560,Iraq,2015,April,298
561,Iraq,2016,April,276
562,Iraq,2017,April,245
563,Iraq,2018,April,337
564,Iraq,2019,April,533
565,Iraq,2020,April,103
566,Iraq,2021,April,546
567,Iraq,2022,April,714
568,Jordan,2015,April,19
569,Jordan,2016,April,14
570,Jordan,2017,April,38
571,Jordan,2018,April,62
572,Jordan,2019,April,149
573,Jordan,2020,April,25
574,Jordan,2021,April,94
575,Jordan,2022,April,111
576,Kazakhstan,2020,April,36
577,Kazakhstan,2021,April,188
578,Kazakhstan,2015,April,41
579,Kazakhstan,2016,April,27
580,Kazakhstan,2017,April,25
581,Kazakhstan,2018,April,29
582,Kazakhstan,2019,April,73
583,Kazakhstan,2022,April,311
584,Kuwait,2015,April,187
585,Kuwait,2016,April,172
586,Kuwait,2017,April,169
587,Kuwait,2018,April,116
588,Kuwait,2019,April,202
589,Kuwait,2020,April,6
590,Kuwait,2021,April,78
591,Kuwait,2022,April,104
592,Lebanese,2019,April,49
593,Lebanese,2020,April,10
594,Lebanon,2018,April,16
595,Lebanon,2021,April,61
596,Lebanon,2022,April,92
597,Libya,2019,April,85
598,Libya,2020,April,10
599,Libya,2015,April,39
600,Netherlands,2016,April,32
601,Netherlands,2018,April,31
602,Norway,2015,April,39
603,Norway,2016,April,28
604,Norway,2017,April,21
605,Othercountries,2015,April,268
606,Othercountries,2016,April,280
607,Othercountries,2017,April,317
608,Othercountries,2018,April,385
609,Othercountries,2019,April,672
610,Othercountries,2020,April,143
611,Othercountries,2021,April,798
612,Othercountries,2022,April,1252
613,Pakistani,2021,April,83
614,Pakistani,2022,April,138
615,Palestine,2017,April,19
616,Palestine,2018,April,29
617,Palestine,2019,April,120
618,Palestine,2020,April,14
619,Palestine,2021,April,111
620,Palestine,2022,April,154
621,Qatar,2015,April,20
622,Qatar,2016,April,31
623,Qatar,2017,April,13
624,Qatar,2018,April,37
625,Qatar,2019,April,79
626,RussianFederation,2015,April,196
627,RussianFederation,2016,April,96
628,RussianFederation,2017,April,99
629,RussianFederation,2018,April,112
630,RussianFederation,2019,April,202
631,RussianFederation,2020,April,61
632,RussianFederation,2021,April,402
633,RussianFederation,2022,April,1152
634,SaudiArabia,2015,April,190
635,SaudiArabia,2016,April,165
636,SaudiArabia,2017,April,185
637,SaudiArabia,2018,April,252
638,SaudiArabia,2019,April,395
639,SaudiArabia,2020,April,15
640,SaudiArabia,2022,April,19
641,Sudan,2021,April,63
642,Sweden,2015,April,37
643,Sweden,2016,April,35
644,Sweden,2017,April,36
645,Sweden,2018,April,35
646,Sweden,2019,April,42
647,Sweden,2020,April,1
648,Sweden,2021,April,60
649,Ukraine,2015,April,57
650,Ukraine,2016,April,24
651,Ukraine,2017,April,31
652,Ukraine,2018,April,54
653,Ukraine,2019,April,50
654,Ukraine,2020,April,8
